biosample_id,run_accession,fastq_file,download_url
SAMEA115401565,ERR12743215,ERR12743215.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/015/ERR12743215/ERR12743215.fastq.gz
SAMEA115401565,ERR12742680,ERR12742680.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/080/ERR12742680/ERR12742680.fastq.gz
SAMN24040382,SRR17234883,SRR17234883_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR172/083/SRR17234883/SRR17234883_1.fastq.gz
SAMN24040382,SRR17234883,SRR17234883_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR172/083/SRR17234883/SRR17234883_2.fastq.gz
SAMN24040382,SRR17234894,SRR17234894_subreads.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR172/094/SRR17234894/SRR17234894_subreads.fastq.gz
SAMN27028220,SRR18511623,SRR18511623_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/023/SRR18511623/SRR18511623_1.fastq.gz
SAMN27028220,SRR18511623,SRR18511623_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/023/SRR18511623/SRR18511623_2.fastq.gz
SAMEA115401571,ERR12743226,ERR12743226.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/026/ERR12743226/ERR12743226.fastq.gz
SAMEA115401571,ERR12742691,ERR12742691.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/091/ERR12742691/ERR12742691.fastq.gz
SAMEA115401562,ERR12742683,ERR12742683.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/083/ERR12742683/ERR12742683.fastq.gz
SAMEA115401562,ERR12743218,ERR12743218.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/018/ERR12743218/ERR12743218.fastq.gz
SAMEA115401561,ERR12742679,ERR12742679.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/079/ERR12742679/ERR12742679.fastq.gz
SAMEA115401561,ERR12743214,ERR12743214.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/014/ERR12743214/ERR12743214.fastq.gz
SAMN24040410,SRR17234885,SRR17234885_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR172/085/SRR17234885/SRR17234885_1.fastq.gz
SAMN24040410,SRR17234885,SRR17234885_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR172/085/SRR17234885/SRR17234885_2.fastq.gz
SAMN24040410,SRR17234903,SRR17234903_subreads.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR172/003/SRR17234903/SRR17234903_subreads.fastq.gz
SAMN28173806,SRR20082812,SRR20082812_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/012/SRR20082812/SRR20082812_1.fastq.gz
